,의료기관,도로명주소,위도,경도,상세주소,전화번호
0,가족사랑서울정신건강의학과의원,당산로 222,36.6352407,127.5041756,당산디오빌 2층,02.2068.7486
1,같은마음정신건강의학과의원,영중로2길 1,37.5168984,126.9070573,대선빌딩 12층 (영등포동3가),02.2677.7582
2,그래정신건강의학과의원,양평로 20,37.4716544,127.520792,"Tower020, 2층",02.2635.8277
3,당산숲정신건강의학과의원,양평로 46,37.4716544,127.520792,세바빌딩 4층,02.2088.0869
4,라엘정신건강의학과의원,양평로 99,37.4716544,127.520792,대명빌딩 10층,02.6909.9870
5,라임정신건강의학과의원,국제금융로 78,37.5208211,126.931415,홍우빌딩 301호,02.6105.7520
6,스위스정신건강의학과의원,의사당대로1길 11,37.5192603,126.929021,2층,02.780.7576
7,여의도삼성정신건강의학과의원,여의대방로 383,37.4972815,126.9171421,경도빌딩 2층,02.780.1593
8,여의도쉼정신건강의학과의원,의사당대로 127,37.52023975,126.92638005984848,롯데캐슬엠파이어 203호,02.6954.6997
9,여의도힐정신건강의학과의원,여의나루로 42,37.5230065,126.9263815,여의도종합상가510호,02.785.7008
10,연세봄날정신건강의학과의원,당산로 142-1,36.6352407,127.5041756,206클리닉빌딩 7층,02.3667.1338
11,오정신건강의학과의원,영신로40길 3-1,37.5213018,126.9026711,공백테스트1,02.2634.5691
12,이상구신경정신과의원,영등포로 216,37.5184309,126.9126393,공백테스트2,02.2678.6355
13,전명숙신경정신과의원,영중로 46,37.5284323,126.9057359,공백테스트3,02.2636.1044
14,조맹제정신건강의학과의원,당산로 133,36.6352407,127.5041756,서림빌딩 302호,02.2678.0088
